ignoreDoris\13.png → 13.webp | Saved 2916479 bytes (92.6%)
ignoreDoris\14.png → 14.webp | Saved 2916479 bytes (92.6%)
ignoreDoris\15.png → 15.webp | Saved 2916479 bytes (92.6%)
ignoreDoris\16.png → 16.webp | Saved 2916479 bytes (92.6%)
ignoreDoris\17.png → 17.webp | Saved 2916479 bytes (92.6%)
ignoreDoris\18.png → 18.webp | Saved 2916479 bytes (92.6%)
ignoreDoris\2.png → 2.webp | Saved 2694977 bytes (95.4%)
ignoreDoris\3.png → 3.webp | Saved 2403108 bytes (94.8%)
ignoreDoris\4.png → 4.webp | Saved 2403108 bytes (94.8%)
ignoreDoris\5.png → 5.webp | Saved 2398952 bytes (94.3%)
ignoreDoris\6.png → 6.webp | Saved 2398952 bytes (94.3%)
ignoreDoris\7.png → 7.webp | Saved 2397281 bytes (94.3%)
ignoreDoris\8.png → 8.webp | Saved 2397281 bytes (94.3%)
ignoreDoris\9.png → 9.webp | Saved 2397281 bytes (94.3%)
ignoreRock\1.png → 1.webp | Saved 2889983 bytes (89.9%)
ignoreRock\2.png → 2.webp | Saved 2891204 bytes (89.9%)
ignoreRock\3.png → 3.webp | Saved 2889110 bytes (89.8%)
lunchOutside\1.png → 1.webp | Saved 2880154 bytes (90.5%)
lunchOutside\10.png → 10.webp | Saved 2737599 bytes (93.1%)
lunchOutside\11.png → 11.webp | Saved 2737599 bytes (93.1%)
lunchOutside\12.png → 12.webp | Saved 2737599 bytes (93.1%)
lunchOutside\13.png → 13.webp | Saved 2737599 bytes (93.1%)
lunchOutside\14.png → 14.webp | Saved 2737599 bytes (93.1%)
lunchOutside\15.png → 15.webp | Saved 2875164 bytes (93.4%)
lunchOutside\16.png → 16.webp | Saved 2875164 bytes (93.4%)
lunchOutside\17.png → 17.webp | Saved 2875164 bytes (93.4%)
lunchOutside\18.png → 18.webp | Saved 2875164 bytes (93.4%)
lunchOutside\19.png → 19.webp | Saved 2875164 bytes (93.4%)
lunchOutside\2.png → 2.webp | Saved 2880154 bytes (90.5%)
lunchOutside\20.png → 20.webp | Saved 2875164 bytes (93.4%)
lunchOutside\21.png → 21.webp | Saved 2875164 bytes (93.4%)
lunchOutside\22.png → 22.webp | Saved 3020244 bytes (91.1%)
lunchOutside\23.png → 23.webp | Saved 2460128 bytes (93.0%)
lunchOutside\24.png → 24.webp | Saved 2460128 bytes (93.0%)
lunchOutside\25.png → 25.webp | Saved 2603009 bytes (93.0%)
lunchOutside\26.png → 26.webp | Saved 2603009 bytes (93.0%)
lunchOutside\27.png → 27.webp | Saved 2603009 bytes (93.0%)
lunchOutside\28.png → 28.webp | Saved 2578435 bytes (92.8%)
lunchOutside\29.png → 29.webp | Saved 2728123 bytes (93.3%)
lunchOutside\3.png → 3.webp | Saved 2881618 bytes (90.6%)
lunchOutside\30.png → 30.webp | Saved 2726503 bytes (92.8%)
lunchOutside\31.png → 31.webp | Saved 2603009 bytes (93.0%)
lunchOutside\32.png → 32.webp | Saved 2603009 bytes (93.0%)
lunchOutside\33.png → 33.webp | Saved 2872434 bytes (92.1%)
lunchOutside\34.png → 34.webp | Saved 2872434 bytes (92.1%)
lunchOutside\35.png → 35.webp | Saved 2817150 bytes (91.9%)
lunchOutside\36.png → 36.webp | Saved 2817150 bytes (91.9%)
lunchOutside\37.png → 37.webp | Saved 2587880 bytes (94.0%)
lunchOutside\38.png → 38.webp | Saved 2587880 bytes (94.0%)
lunchOutside\39.png → 39.webp | Saved 2107119 bytes (94.3%)
lunchOutside\4.png → 4.webp | Saved 2881618 bytes (90.6%)
lunchOutside\40.png → 40.webp | Saved 2107119 bytes (94.3%)
lunchOutside\41.png → 41.webp | Saved 2113607 bytes (94.1%)
lunchOutside\5.png → 5.webp | Saved 2924718 bytes (91.6%)
lunchOutside\6.png → 6.webp | Saved 2638372 bytes (93.0%)
lunchOutside\7.png → 7.webp | Saved 2924419 bytes (92.5%)
lunchOutside\8.png → 8.webp | Saved 2924419 bytes (92.5%)
lunchOutside\9.png → 9.webp | Saved 2924419 bytes (92.5%)
packetsOfSalt\1.png → 1.webp | Saved 2792962 bytes (92.8%)
packetsOfSalt\2.png → 2.webp | Saved 2792962 bytes (92.8%)
packetsOfSalt\3.png → 3.webp | Saved 2792962 bytes (92.8%)
packetsOfSalt\4.png → 4.webp | Saved 2792962 bytes (92.8%)
packetsOfSalt\5.png → 5.webp | Saved 2923887 bytes (91.2%)
packetsOfSalt\6.png → 6.webp | Saved 2921244 bytes (91.2%)
packetsOfSalt\7.png → 7.webp | Saved 2921244 bytes (91.2%)
packetsOfSalt\8.png → 8.webp | Saved 2930098 bytes (91.2%)
pickFloor\1.png → 1.webp | Saved 2767945 bytes (93.3%)
pickFloor\2.png → 2.webp | Saved 2933766 bytes (90.8%)
pickFloor\3.png → 3.webp | Saved 2933766 bytes (90.8%)
pickFloor\4.png → 4.webp | Saved 2791698 bytes (92.6%)
pickFloor\5.png → 5.webp | Saved 2791698 bytes (92.6%)
pickFloor\6.png → 6.webp | Saved 2791698 bytes (92.6%)
pickFloor\7.png → 7.webp | Saved 2791698 bytes (92.6%)
programmedCalc\1.png → 1.webp | Saved 2861500 bytes (92.2%)
programmedCalc\2.png → 2.webp | Saved 2860977 bytes (92.2%)
refuseToAnswer\1.png → 1.webp | Saved 2214263 bytes (95.9%)
refuseToAnswer\2.png → 2.webp | Saved 2552259 bytes (95.5%)
refuseToAnswer\3.png → 3.webp | Saved 2214263 bytes (95.9%)
refuseToAnswer\4.png → 4.webp | Saved 2552259 bytes (95.5%)
refuseToAnswer\5.png → 5.webp | Saved 2552259 bytes (95.5%)
refuseToAnswer\6.png → 6.webp | Saved 2552259 bytes (95.5%)
sayNothing\1.png → 1.webp | Saved 2886541 bytes (89.8%)
sayNothing\2.png → 2.webp | Saved 2886541 bytes (89.8%)
sayNothing\3.png → 3.webp | Saved 2888656 bytes (89.8%)
sayNothing\4.png → 4.webp | Saved 2886541 bytes (89.8%)
sayNothing\5.png → 5.webp | Saved 2890290 bytes (89.7%)
sayNothing\6.png → 6.webp | Saved 2860716 bytes (89.4%)
sayNothing\7.png → 7.webp | Saved 2869367 bytes (89.6%)
sayNothing\8.png → 8.webp | Saved 2888476 bytes (89.8%)
schoolCafeteria\1.png → 1.webp | Saved 2754861 bytes (93.4%)
schoolCafeteria\2.png → 2.webp | Saved 2754862 bytes (93.4%)
schoolCafeteria\3.png → 3.webp | Saved 2754861 bytes (93.4%)
schoolCafeteria\4.png → 4.webp | Saved 2754863 bytes (93.4%)
schoolCafeteria\5.png → 5.webp | Saved 2754863 bytes (93.4%)
schoolCafeteria\6.png → 6.webp | Saved 2754861 bytes (93.4%)
schoolCafeteria\7.png → 7.webp | Saved 2754861 bytes (93.4%)
sixMilk\1.png → 1.webp | Saved 2718424 bytes (93.8%)
sixMilk\2.png → 2.webp | Saved 2718424 bytes (93.8%)
sixMilk\3.png → 3.webp | Saved 2718424 bytes (93.8%)
staySilent\1.png → 1.webp | Saved 2214263 bytes (95.9%)
